予定時刻,演目
7:30,モーツァルト：クラリネット5重奏曲
7:35,ブラームス：弦楽6重奏曲第1番
7:40,シェーンベルク：弦楽6重奏曲「浄夜」
7:45,合唱「群青」
7:50,シューベルト：ピアノ5重奏曲「鱒」
7:55,"	Le violette"
8:00,ベートーヴェン：ピアノ3重奏曲第7番「大公」
8:05,モーツァルト：クラリネット6重奏曲
8:10,ブラームス：弦楽6重奏曲第2番
8:15,シェーンベルク：弦楽7重奏曲「浄夜」
8:20,合唱「群青」
8:25,シューベルト：ピアノ6重奏曲「鱒」
8:30,"	Le violette"
8:35,ベートーヴェン：ピアノ3重奏曲第8番「大公」
8:40,モーツァルト：クラリネット7重奏曲
8:45,ブラームス：弦楽6重奏曲第3番
8:50,シェーンベルク：弦楽8重奏曲「浄夜」
8:55,合唱「群青」
9:00,シューベルト：ピアノ7重奏曲「鱒」
9:05,"	Le violette"
9:10,ベートーヴェン：ピアノ3重奏曲第9番「大公」
9:15,モーツァルト：クラリネット8重奏曲
9:20,ブラームス：弦楽6重奏曲第4番
9:25,シェーンベルク：弦楽9重奏曲「浄夜」
9:30,合唱「群青」
9:35,シューベルト：ピアノ8重奏曲「鱒」
9:40,"	Le violette"
9:45,ベートーヴェン：ピアノ3重奏曲第10番「大公」
9:50,モーツァルト：クラリネット9重奏曲
9:55,ブラームス：弦楽6重奏曲第5番
10:00,シェーンベルク：弦楽10重奏曲「浄夜」
10:05,合唱「群青」
10:10,シューベルト：ピアノ9重奏曲「鱒」
10:15,"	Le violette"
10:20,ベートーヴェン：ピアノ3重奏曲第11番「大公」
10:25,モーツァルト：クラリネット10重奏曲
10:30,ブラームス：弦楽6重奏曲第6番
10:35,シェーンベルク：弦楽11重奏曲「浄夜」
10:40,合唱「群青」
10:45,シューベルト：ピアノ10重奏曲「鱒」
10:50,"	Le violette"
10:55,ベートーヴェン：ピアノ3重奏曲第12番「大公」
11:00,モーツァルト：クラリネット11重奏曲
11:05,ブラームス：弦楽6重奏曲第7番
11:10,シェーンベルク：弦楽12重奏曲「浄夜」
11:15,合唱「群青」
11:20,シューベルト：ピアノ11重奏曲「鱒」
11:25,"	Le violette"
11:30,ベートーヴェン：ピアノ3重奏曲第13番「大公」
11:35,モーツァルト：クラリネット12重奏曲
11:40,ブラームス：弦楽6重奏曲第8番
11:45,シェーンベルク：弦楽13重奏曲「浄夜」
11:50,合唱「群青」
11:55,シューベルト：ピアノ12重奏曲「鱒」
12:00,"	Le violette"
12:05,ベートーヴェン：ピアノ3重奏曲第14番「大公」
12:10,モーツァルト：クラリネット13重奏曲
12:15,ブラームス：弦楽6重奏曲第9番
12:20,シェーンベルク：弦楽14重奏曲「浄夜」
12:25,合唱「群青」
12:30,シューベルト：ピアノ13重奏曲「鱒」
12:35,"	Le violette"
12:40,ベートーヴェン：ピアノ3重奏曲第15番「大公」
12:45,モーツァルト：クラリネット14重奏曲
12:50,ブラームス：弦楽6重奏曲第10番
12:55,シェーンベルク：弦楽15重奏曲「浄夜」
13:00,合唱「群青」
13:05,シューベルト：ピアノ14重奏曲「鱒」
13:10,"	Le violette"
13:15,ベートーヴェン：ピアノ3重奏曲第16番「大公」
13:20,モーツァルト：クラリネット15重奏曲
13:25,ブラームス：弦楽6重奏曲第11番
13:30,シェーンベルク：弦楽16重奏曲「浄夜」
13:35,合唱「群青」
13:40,シューベルト：ピアノ15重奏曲「鱒」
13:45,"	Le violette"
13:50,ベートーヴェン：ピアノ3重奏曲第17番「大公」
13:55,モーツァルト：クラリネット16重奏曲
14:00,ブラームス：弦楽6重奏曲第12番
14:05,シェーンベルク：弦楽17重奏曲「浄夜」
14:10,合唱「群青」
14:15,シューベルト：ピアノ16重奏曲「鱒」
14:20,"	Le violette"
14:25,ベートーヴェン：ピアノ3重奏曲第18番「大公」
14:30,モーツァルト：クラリネット17重奏曲
14:35,ブラームス：弦楽6重奏曲第13番
14:40,シェーンベルク：弦楽18重奏曲「浄夜」
14:45,合唱「群青」
14:50,シューベルト：ピアノ17重奏曲「鱒」
14:55,"	Le violette"
15:00,ベートーヴェン：ピアノ3重奏曲第19番「大公」
15:05,モーツァルト：クラリネット18重奏曲
15:10,ブラームス：弦楽6重奏曲第14番
15:15,シェーンベルク：弦楽19重奏曲「浄夜」
15:20,合唱「群青」
15:25,シューベルト：ピアノ18重奏曲「鱒」
15:30,"	Le violette"
15:35,ベートーヴェン：ピアノ3重奏曲第20番「大公」
15:40,モーツァルト：クラリネット19重奏曲
15:45,ブラームス：弦楽6重奏曲第15番
15:50,シェーンベルク：弦楽20重奏曲「浄夜」
15:55,合唱「群青」
16:00,シューベルト：ピアノ19重奏曲「鱒」
16:05,"	Le violette"
16:10,ベートーヴェン：ピアノ3重奏曲第21番「大公」
16:15,モーツァルト：クラリネット20重奏曲
16:20,ブラームス：弦楽6重奏曲第16番
16:25,シェーンベルク：弦楽21重奏曲「浄夜」
16:30,合唱「群青」
16:35,シューベルト：ピアノ20重奏曲「鱒」
16:40,"	Le violette"
16:45,ベートーヴェン：ピアノ3重奏曲第22番「大公」
16:50,モーツァルト：クラリネット21重奏曲
16:55,ブラームス：弦楽6重奏曲第17番
17:00,シェーンベルク：弦楽22重奏曲「浄夜」
17:05,合唱「群青」
17:10,シューベルト：ピアノ21重奏曲「鱒」
17:15,"	Le violette"
17:20,ベートーヴェン：ピアノ3重奏曲第23番「大公」
17:25,モーツァルト：クラリネット22重奏曲
17:30,ブラームス：弦楽6重奏曲第18番
17:35,シェーンベルク：弦楽23重奏曲「浄夜」
17:40,合唱「群青」
17:45,シューベルト：ピアノ22重奏曲「鱒」
